codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
T070212,Realizar monitoreo a canales,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T070214,Gestionar Novedades para las experiencias de Ventas digitales,13,0,0.0%,0,0.0%,6,46.2%,6,7,46.2%
T070214,Gestionar venta y rescate de clientes con equipos comerciales,18,0,0.0%,0,0.0%,6,33.3%,6,12,33.3%
T070214,Grabar Aumento de cupo TDC de ventas digitales,11,0,0.0%,0,0.0%,3,27.3%,3,8,27.3%
T070214,Grabar TDC de ventas digitales,16,0,0.0%,0,0.0%,4,25.0%,4,12,25.0%
T080006,Administrar Cupos ML,7,0,0.0%,0,0.0%,2,28.6%,2,5,28.6%
T080006,Administrar liquidez de Grupo Cibest Subsidiarias y Subholdings,17,0,0.0%,0,0.0%,1,5.9%,1,16,5.9%
T080006,Administrar liquidez de Grupo Cibest y Subsidiarias,16,0,0.0%,0,0.0%,0,0.0%,0,16,0.0%
T080006,Evaluar Cobertura,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080130,Procesar Información Financiera MK y CI,47,0,0.0%,0,0.0%,7,14.9%,7,40,14.9%
T080130,Procesar información financiera MK Y CI,30,0,0.0%,0,0.0%,1,3.3%,1,29,3.3%
T080148,Gestionar los recursos y la contabilidad de la Fundación Bancolombia,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T080148,Gestionar los recursos y la contabilidad de la Fundación Bancombia,35,0,0.0%,0,0.0%,1,2.9%,1,34,2.9%
T080149,Calcular costo amortizado,22,0,0.0%,0,0.0%,3,13.6%,3,19,13.6%
T080149,Consolidar información para provisiones bajo pérdida esperada,29,0,0.0%,0,0.0%,1,3.4%,1,28,3.4%
T080315,Ejecutar Fase 1,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T080315,Ejecutar Fase 2,2,0,0.0%,0,0.0%,0,0.0%,0,2,0.0%
T080315,Ejecutar Fase 3,2,0,0.0%,0,0.0%,0,0.0%,0,2,0.0%
T080315,Ejecutar Fase 4,3,0,0.0%,0,0.0%,0,0.0%,0,3,0.0%
T080315,Ejecutar Normalizaciones,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T080315,Generar Informes de Modelos de Rentabilidad,42,0,0.0%,0,0.0%,2,4.8%,2,40,4.8%
T080505,Realizar Conciliacion Contable MK y CI,25,0,0.0%,0,0.0%,7,28.0%,7,18,28.0%
T080506,Realizar Razonabilidad,22,0,0.0%,0,0.0%,5,22.7%,5,17,22.7%
T080507,Realizar Arqueo de Títulos,34,0,0.0%,0,0.0%,7,20.6%,7,27,20.6%
T080508,Realizar Conciliación Contable de Canales,18,0,0.0%,0,0.0%,3,16.7%,3,15,16.7%
T080508,Realizar Conciliación Contable de Canales Físicos,22,0,0.0%,0,0.0%,3,13.6%,3,19,13.6%
T080508,Realizar Monitoreo Contable de Canales,11,0,0.0%,0,0.0%,0,0.0%,0,11,0.0%
T080508,Realizar Monitoreo Contable de Canales Físicos y Efectivo,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T080516,Conciliar Core Recargas,29,0,0.0%,0,0.0%,0,0.0%,0,29,0.0%
T080516,Conciliar Cuentas Contables de Recaudos,27,0,0.0%,0,0.0%,1,3.7%,1,26,3.7%
T080516,Conciliar Transacciones Autorizadas PSE y SSS,13,0,0.0%,0,0.0%,0,0.0%,0,13,0.0%
T080516,Conciliar Transacciones PSP ONLINE,10,0,0.0%,0,0.0%,0,0.0%,0,10,0.0%
T080516,Conciliar Transacciones Recaudadas PSE y SSS,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T080516,Conciliar cuenta de IVA criptoactivos y recargas,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080516,Conciliar cuenta de IVA recargas,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080516,Conciliar cuenta de comisión  recargas,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080516,Conciliar cuenta de comisión criptoactivos,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080516,Conciliar cuentas PYG,7,0,0.0%,0,0.0%,0,0.0%,0,7,0.0%
T080516,Conciliar cuentas de Autorretención,14,0,0.0%,0,0.0%,1,7.1%,1,13,7.1%
T080516,Conciliar devoluciones por operador débito,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T080516,Conciliar otras cuentas,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
T080516,Conciliar recargas de celular,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
T080516,Gestionar transacciones rechazadas de recaudos,14,0,0.0%,0,0.0%,1,7.1%,1,13,7.1%
T080516,Procedimiento de Contigencia,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
T080516,Procedimientos de Contingencia,17,0,0.0%,0,0.0%,2,11.8%,2,15,11.8%
T080602,Contingencia,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
T080602,Generar y Transmitir Informes Externos,21,0,0.0%,0,0.0%,0,0.0%,0,21,0.0%
T080602,Procedimiento de Contingencia,14,0,0.0%,0,0.0%,0,0.0%,0,14,0.0%
T080802,Cotización esquema de formación IBR,15,0,0.0%,0,0.0%,3,20.0%,3,12,20.0%
T080802,Establecer estrategias,6,0,0.0%,0,0.0%,1,16.7%,1,5,16.7%
T080802,Gestionar Riesgo de Crédito,14,0,0.0%,0,0.0%,3,21.4%,3,11,21.4%
T080802,Habilitar trader,8,0,0.0%,0,0.0%,1,12.5%,1,7,12.5%
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,58,0,0.0%,0,0.0%,5,8.6%,5,53,8.6%
T080802,Procedimiento de Contingencia,5,0,0.0%,0,0.0%,3,60.0%,3,2,60.0%
T080902,Conciliar transacciones y contabilidad de ecosistemas,59,0,0.0%,1,1.7%,9,15.3%,10,49,16.9%
