codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
T080508,Realizar Conciliación Contable de Canales Físicos,conciliar información [cmt76] ,CMT76,Conciliar InformaciÃ³n
T080508,Realizar Conciliación Contable de Canales Físicos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T080508,Realizar Conciliación Contable de Canales Físicos,ejecutar ajuste contable [act372] ,ACT372,Ejecutar Ajuste Contable
T080516,Conciliar Cuentas Contables de Recaudos,certificar cuentas contables de recaudos ,CP0469,Certificar cuenta
T080516,Conciliar cuentas de Autorretención,consultar saldo en sap ,ACT103,Consultar Saldo
T080516,Gestionar transacciones rechazadas de recaudos,validar respuesta de recuperaciones ,ACT345,Validar Respuesta
T080516,Procedimientos de Contingencia,activar contingencia conciliar transacciones autorizadas pse y sss ,ACT363,Activar Contingencia
T080516,Procedimientos de Contingencia,activar contingencia conciliar cuenta pyg ,ACT363,Activar Contingencia
T080802,Cotización esquema de formación IBR,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T080802,Cotización esquema de formación IBR,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T080802,Cotización esquema de formación IBR,activar contingencia [act363] ,ACT363,Activar Contingencia
T080802,Establecer estrategias,informar resultado [act209] ,ACT209,Informar Resultado
T080802,Gestionar Riesgo de Crédito,informar resultado [act209] ,ACT209,Informar Resultado
T080802,Gestionar Riesgo de Crédito,procesar solicitud [act238] ,ACT238,Procesar Solicitud
T080802,Gestionar Riesgo de Crédito,validar información [act341] ,ACT341,Validar InformaciÃ³n
T080802,Habilitar trader,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,informar resultado [act209] ,ACT209,Informar Resultado
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,informar resultado de verificación ,ACT209,Informar Resultado
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,c006: monitorear operaciones por fuera de los 15 minutos ,ACT220,Monitorear Operaciones
T080802,Negociar y Administrar Operaciones de Tesorería Posición Propia,solicitar información [act318] ,ACT318,Solicitar InformaciÃ³n
T080802,Procedimiento de Contingencia,activar contingencia [act363] ,ACT363,Activar Contingencia
T080802,Procedimiento de Contingencia,activar contingencia ,ACT363,Activar Contingencia
T080802,Procedimiento de Contingencia,restablecer operación normal [act375] ,ACT375,Restablecer OperaciÃ³n Normal
T080902,Conciliar transacciones y contabilidad de ecosistemas,escalar caso[cmp75] ,CMP75,Asignar Solicitud
