t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,c006: sox verificar y aprobar ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,c006 sox verificar operación - aprobar desembolsos ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,c004: validar cliente en listas de control ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,c003: validar cliente en listas de control de clientes críticos ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,c002: revisar el estado del cliente ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,activar contigencia [act363] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Procedimiento Contingente,activar contigencia ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,solicitar autorización [act311] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,recibir solicitud ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,radicar la solicitud ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar clientes y/o usuarios ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar clientes y usuarios ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: cumplimiento de los servicios p: adminsitrar garantías ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,m: cumplimiento de los servicios p: abrir producto de crédito ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,implementar solución [act204] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,identificar tipo de negocio ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar y enviar informe de sustitución ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar informes [act178] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,generar carta y notificar ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,emitir certificado [act141] ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,declinar la solicitud ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,crear bizagi para registro de facturas ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c018: realizar verificación dual ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c010 validar viabilidad de operación ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c009: validar plantilla según tipo de operación ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c007: validar cufe de operación en la dian ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c006: sox verificar y aprobar ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c006 sox verificar y aprobar ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c004: validar cliente en listas de control ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c003: validar lista de clientes críticos ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,c001: validar condiciones de lme y solicitud de crédito ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Crear Cuenta y Autorizar desembolsos,autorizar operaciones por callback ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,notificar inconsistencias ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040102,Autorizar Operaciones por Callback,confirmar operación ,['PAN040102'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Abrir Productos Pasivos,abrir expediente del producto ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,recibir solicitud de apertura ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,realizar fondeo de producto ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,generar constancia y carta de confirmación ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,corregir transacción ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,c008 aprobar firmas y condiciones ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,c007 validar en listas de control ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,c005 sox verificar transacciones procesadas ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,c004: revisar instrucciones originales recibidas ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,c001 verificar requisitos de titularidad ,['PAN040103'],['ARQ002'],['Abrir producto']
6811752.0,2026Q1,PAN040103,Realizar Apertura de Productos Pasivos,ajustar inconsistencia ,['PAN040103'],['ARQ002'],['Abrir producto']
