id_epica,periodo,codigo_proceso,procedimiento,actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,informar resultado [act209] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c006: verificar captura ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,realizar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c001: validar requisitos regulatorios ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,ingresar a la experiencia de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,recibir información[act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,recibir información[act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,publicar documentos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,realizar gestión listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,recibir información [act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c008:realizar perfil transaccional ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,adjuntar documentación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,armar expediente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,gestionar inconsistencia ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c003: validar identidad ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,m: soporte organizacional p: administrar documentos filiales del exterior ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,realizar investigación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c0010: evaluar la calificación de riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,identificar tipo de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,registrar datos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c001: validar existencia de la persona ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,radicar solicitud validación documental ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,radicar solicitud de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vinculación gestionada por comercial ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,cerrar solicitud ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c004: validar listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,finalizar operación [act086] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,segmentar cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,c007: evaluar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,cargar base ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,solicitar documentos obligatorios ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,c007: evaluar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c002: identificar perfil de riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,firmar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,convertir información financiera ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c011:confirmar identidad ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,entregar instrucciones y clausulas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vincular cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,firmar documentación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vinculación centralizada ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,finalizar operación [act086] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,realizar debida diligencia de listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,capturar datos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,enviar información [act156] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,solicitar documentos obligatorios ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c004: gestionar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,cambiar estado de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c012: validar listas de control internas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,m: soporte organizacional p: administrar documentos filiales del exterior ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,entrevistar al potencial cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,crear prospecto ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,recibir solicitud de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,c002: validar documentos soporte ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,validar solicitud [act348] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c009:verificar autorizaciones y revocatorias ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c003: validar en listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,ingresar a experiencia autogestión ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,enviar información [act156] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,finalizar operación [act086] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c005: validar completitud de los requisitos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,segmentar cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,generar base ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c002: validar documentos soporte ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,cerrar solicitud ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,c005: realizar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,realizar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,enviar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,cargar información [act066] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,cargar información [act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,generar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c004: validar listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c007:validar solicitud de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c003: validar identidad ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,notificar al panel ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c005: realizar busquedas ampliadas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,gestionar inconsistencias [act191] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,c008: realizar perfil transaccional ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,informar resultado [act209] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c006: verificar captura ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,realizar debida diligencia alto riesgo ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c001: validar requisitos regulatorios ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,ingresar a la experiencia de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,recibir información[act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,recibir información[act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,publicar documentos ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación Centralizada,realizar gestión listas de control ,['PAN050802'],['ARQ114'],['Vincular clientes']
7022279,2026Q1,PAN050802,Vinculación gestionada por comercial,recibir información [act266] ,['PAN050802'],['ARQ114'],['Vincular clientes']
