t1.id_epica,t1.periodo,codigo_proceso,t2.procedimiento,t2.actividad
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c007: validar fuentes de información por macroactivo 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c006:validar carta y envío a pershing 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c005 validar cupos y revisar atribuciones de negociación 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c003 revisar las condiciones del portafolio 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c002 verificar desempeño del portafolio 
6804626,2026Q1,FID050210,Definir y ejecutar estrategia de Asset Management,c001 aprobar las estrategias de inversión 
6811752,2026Q1,PAN040102,Abrir Producto de Crédito,autorizar operaciones por callback 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,recibir información [act266] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,notificar inconsistencia de fecha 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,m: cumplimiento de los servicios p: abrir producto de crédito 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,ingresar comprobante en sap 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,ingresar ajuste de saldo en finacle 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,enviar información de liquidaciones 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,enviar información [act156] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,consolidar información [act098] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,cargar información [act066] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,calcular tasa compuesta 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,calcular intereses [act056] 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c017: validar cuenta 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c017 validar cuenta 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c015: aprobar comprobante sap erp 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c013: validar inconsistencias 
6811752,2026Q1,PAN040102,Realizar cálculos Revolvente,c013 validar inconsistencias 
6811752,2026Q1,PAN040102,Procedimiento Contingente,recibir solicitud 
6811752,2026Q1,PAN040102,Procedimiento Contingente,m: gestión de la relación con clientes p: evaluar clientes y/o usuarios 
6811752,2026Q1,PAN040102,Procedimiento Contingente,m: gestión de la relación con clientes p: evaluar clientes y usuarios 
6811752,2026Q1,PAN040102,Procedimiento Contingente,m: gestión de la relación con clientes p: evaluar alertas panamá y sucursal 
6811752,2026Q1,PAN040102,Procedimiento Contingente,m: gestión de la relación con clientes p: evaluar alertas de clientes puerto rico 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c004 validar cliente en safewatch 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c003: validar lista de clientes críticos 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c001: validar condiciones de lme y solicitud d 
6811752,2026Q1,PAN040102,Procedimiento Contingente,c001 validar condiciones de lme y solicitud de crédito 
